x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-77.0204866766	38.8957873613	2199904	10978974	False	P385	STOPPING, STANDING OR PARKING VEHICLE IN BIKE LANE	600 E ST NW	NJ		238715	6437.0	398223	136437	Parking_Violations_in_October_2010.csv	2010-10-26T11:48:00.000Z
-77.033942667	38.9028918239	10963890	9775837	False	P039	PARK AT EXPIRED METER	1000 VERMONT AVE NW BLOCK WEST SIDE	MD		240261	6436.0	397056	137226	Parking_Violations_in_February_2012.csv	2012-01-13T15:30:00.000Z
-77.0365476598	38.9019451604	8654204	12934305	False	P007	PARK IN A BUS ZONE	1000 16TH ST NW	DC	4D	814092	12143.0	396830	137121	Parking_Violations_in_February_2014.csv	2014-02-27T09:09:00.000Z
-77.0199796411	38.9375680977	1404211	3348128	False	P173	NO PARKING STREET CLEANING	516 FRONT QUINCY ST NW SOUTH SIDE	MD	4D	247836	2030.0	398268	141075	Parking_Violations_in_June_2012.csv	2012-06-19T10:37:00.000Z
-77.0249885575	38.9133437654	159764	6350179	False	P173	NO PARKING STREET CLEANING	900 BLOCK FRENCH ST NW SOUTH SIDE	DC	4D	810946	9385.0	397833	138386	Parking_Violations_in_August_2011.csv	2011-08-10T09:48:00.000Z
-77.0442293497	38.9079150429	2651321	721561	False	P039	PARK AT EXPIRED METER	1900 BLOCK SUNDERLAND PL NW NORTH S	MD	UT	804957	4276.0	396164	137784	Parking_Violations_in_December_2014.csv	2014-12-22T15:27:00.000Z
-77.013880005	38.8885636182	4461161	2878856	False	P039	PARK AT EXPIRED METER	300 BLOCK MARYLAND AVE SW NORTH SID	VA	4D	801240	1186.0	398796	135635	Parking_Violations_in_May_2013.csv	2013-05-11T11:26:00.000Z
-77.0207342646	38.8750860519	5098066	3304212	False	P039	PARK AT EXPIRED METER	600 BLOCK WATER ST SW SOUTH SIDE	MD	VA	800032	31.0	398201	134139	Parking_Violations_in_November_2012.csv	2012-11-17T16:52:00.000Z
-77.032513503	38.9037480241	5971139	7088421	False	P271	NO STOPPING ANYTIME	1400 BLOCK L ST NW NORTH SIDE	MD	2D	807754	6649.0	397180	137321	Parking_Violations_in_February_2011.csv	2011-02-09T23:52:00.000Z
-77.0303449196	38.9010010587	3257569	11396733	False	P039	PARK AT EXPIRED METER	1300 EYE ST NW	MD	2D	240649	10172.0	397368	137016	Parking_Violations_in_May_2009.csv	2009-05-19T09:18:00.000Z
-77.0229459375	38.9079121534	5288669	472767	False	P055	NO PARKING ANYTIME	1300 BLOCK 8TH ST NW EAST SIDE	DC	4D	802650	2027.0	398010	137783	Parking_Violations_in_April_2015.csv	2015-03-10T07:08:00.000Z
-77.0307886509	38.9140990813	7427717	4204276	False	P055	NO PARKING ANYTIME	1400 BLOCK S ST NW SOUTH SIDE	MD	4D	804374	3776.0	397330	138470	Parking_Violations_in_June_2012.csv	2012-06-19T10:45:00.000Z
-77.042522123	38.9064653325	11542989	2080358	False	P039	PARK AT EXPIRED METER	1800BLOCK JEFFERSON PL NW NORTH SID	MD		800728	528.0	396312	137623	Parking_Violations_in_December_2013.csv	2013-12-04T12:04:00.000Z
-77.0397956736	38.896521065	6606891	7414634	False	P039	PARK AT EXPIRED METER	1700 BLOCK NEW YORK AV NW NORTH SID	VA	2D	801812	1505.0	396548	136519	Parking_Violations_in_November_2010.csv	2010-11-17T21:13:00.000Z
-77.0347628225	38.9298715432	11899246	7158087	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	3200 BLOCK HIATT PL NW EAST SIDE	DC	VA	814475	12476.0	396986	140221	Parking_Violations_in_January_2011.csv	2011-01-10T17:00:00.000Z
-77.0516142814	38.9162987802	5086079	1661710	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	2300 BLOCK TRACY PL NW NORTH SIDE	VA	UT	810151	8685.0	395524	138715	Parking_Violations_in_April_2014.csv	2014-04-30T18:21:00.000Z
-77.0462206387	38.9205980122	3933735	2909002	False	P050	PARKED WITHIN 25 FEET OF A STOP SIGN	1900 BLOCK BELMONT RD NW NORTH SIDE	DC	4D	808735	7481.0	395992	139192	Parking_Violations_in_April_2013.csv	2013-04-26T00:58:00.000Z
-77.0121639725	38.896734403	6799455	5029485	False	P039	PARK AT EXPIRED METER	0500 BLOCK 1ST ST NW WEST SIDE	MD	UT	804771	4112.0	398945	136542	Parking_Violations_in_March_2012.csv	2012-03-22T15:35:00.000Z
-76.9567898678	38.8887906693	8567589	1221535	False	P172	FAILURE TO SECURE DC TAGS	BLOCK 3500 A ST SE NORTH SIDE	MD		805788	4956.0	403749	135661	Parking_Violations_in_August_2014.csv	2014-08-15T02:29:00.000Z
-77.0384792772	38.9137274598	2115010	13642100	False	P001	PARK ABREAST OF ANOTHER VEHICLE	1700 BLOCK 17TH ST NW EAST SIDE	IN	TK	800054	48.0	396663	138429	Parking_Violations_in_August_2015.csv	2015-08-26T15:06:00.000Z
-77.0281143403	38.8867773998	2182857	8573139	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	300 BLOCK 12TH ST SW EAST SIDE	MD	UT	803456	2932.0	397561	135437	Parking_Violations_in_February_2010.csv	2010-02-03T16:30:00.000Z
-77.0427439804	38.9111405836	2179599	8190335	False	P039	PARK AT EXPIRED METER	1900 BLOCK Q ST NW NORTH SIDE	VA	4D	802589	1973.0	396293	138142	Parking_Violations_in_June_2010.csv	2010-06-15T15:03:00.000Z
-77.0189310049	38.8978325228	11607623	10748676	False	P039	PARK AT EXPIRED METER	0700 BLOCK 5TH ST NW EAST SIDE	VA	2D	811784	10108.0	398358	136664	Parking_Violations_in_March_2009.csv	2009-03-19T13:40:00.000Z
-77.0307876122	38.8849840574	8399487	6997431	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	1300 BLOCK D ST SW SOUTH SIDE	VA	4D	801948	1533.0	397329	135238	Parking_Violations_in_June_2011.csv	2011-06-20T16:16:00.000Z
-77.0262048331	38.8971735069	312378	13059420	False	P020	PARK WITHIN 10 FEET OF A FIRE HYDRANT	1000 F ST NW	WY	BU	243409	11599.0	397727	136591	Parking_Violations_in_May_2012.csv	2012-05-04T08:39:00.000Z
-77.0144438384	38.883834149	4291400	8348306	False	P039	PARK AT EXPIRED METER	0300 BLOCK VIRGINIA AV SW NORTH SID	VA	4D	800068	60.0	398747	135110	Parking_Violations_in_April_2010.csv	2010-04-22T17:25:00.000Z
-77.0307876903	38.9118740217	5289033	525228	False	P112	FAIL TO REPORT FOR INSPECTION.	1400 BLOCK CORCORAN ST NW NORTH SID	DC	4D	811946	10248.0	397330	138223	Parking_Violations_in_April_2015.csv	2015-03-04T08:33:00.000Z
-77.0199079149	38.8872385144	1418174	5201377	False	P035	NOT PARKED IN A METER SPACE	0200 6TH ST SW EAST SIDE	DC	4D	802414	1945.0	398273	135488	Parking_Violations_in_March_2012.csv	2012-03-06T12:56:00.000Z
-77.0189316719	38.9003458557	84120	10438028	False	P039	PARK AT EXPIRED METER	0800 BLOCK 5TH ST NW EAST SIDE	TX	4D	801612	1370.0	398358	136943	Parking_Violations_in_August_2009.csv	2009-08-07T19:04:00.000Z
